,merchant_id,user_id,checkout_id,action,action_date
76,YKHCNPR33GOHG3M6,1562-8454-TSDR,ZSS6L4QABF6IKJMZ,Checkout Completed,1/8/2016 0:00
77,YKHCNPR33GOHG3M6,2628-0982-YNLE,TY5W53MN8ON7XZQB,Checkout Completed,3/19/2016 0:00
78,YKHCNPR33GOHG3M6,3068-1391-KWMT,P86D201PL5HNLLR2,Checkout Completed,3/22/2016 0:00
79,YKHCNPR33GOHG3M6,3000-6860-LPHD,30ZB9C6TGBQNTWL7,Checkout Completed,2/13/2016 0:00
80,YKHCNPR33GOHG3M6,6047-7809-CSKA,MSMRCJT9SYP1KMWE,Checkout Completed,1/6/2016 0:00
81,D59QS30LK6F2IYOA,7003-8552-EPMP,VNX1X6PW9NOKE5CT,Checkout Completed,1/5/2016 0:00
82,MNLK8D11U6PV4THN,4947-8596-EWON,XSQLJEBZPC6BXS4I,Checkout Completed,3/17/2016 0:00
159,YKHCNPR33GOHG3M6,0630-3120-VRBH,7WFOFTVPJA82WVKA,Checkout Completed,3/30/2016 0:00
160,MNLK8D11U6PV4THN,7346-3340-DAWG,KS0I78R1BQPFUOLL,Checkout Completed,3/30/2016 0:00
161,8L2VTJ7XV2QQ4PCU,3553-0444-ULMX,1HX1FOT1M8ATUG5E,Checkout Completed,3/13/2016 0:00
162,YKHCNPR33GOHG3M6,7430-2729-EGSG,SN6AO6OP2TD249UR,Checkout Completed,3/30/2016 0:00
163,MNLK8D11U6PV4THN,0955-5651-XCLI,E2IVP04JR6VJPBRQ,Checkout Completed,3/8/2016 0:00
164,YKHCNPR33GOHG3M6,8911-4015-GEUQ,C4AFK8VGL7131Y0T,Checkout Completed,1/19/2016 0:00
165,YKHCNPR33GOHG3M6,2687-6682-MLIV,4ISEHTY70G0KDS08,Checkout Completed,1/28/2016 0:00
166,YKHCNPR33GOHG3M6,2385-3265-TOOT,OIURI4O4Y2PZK8PI,Checkout Completed,2/18/2016 0:00
242,YKHCNPR33GOHG3M6,6164-5036-OWOO,2EX2AQ3XG5XGEECF,Checkout Completed,1/8/2016 0:00
